"_id","replicas","date","cycle"
"ObjectId(""607839285e0fe5577e1384a5"")",10,"2021-04-15T13:01:28.790Z",102
"ObjectId(""6078392b5e0fe5577e1384a7"")",10,"2021-04-15T13:01:31.478Z",102
"ObjectId(""6078397c5e0fe5577e1384a9"")",10,"2021-04-15T13:02:52.256Z",103
"ObjectId(""607839a85e0fe5577e1384ab"")",10,"2021-04-15T13:03:36.344Z",103
"ObjectId(""607839f95e0fe5577e1384ad"")",10,"2021-04-15T13:04:57.130Z",104
"ObjectId(""607839fb5e0fe5577e1384af"")",10,"2021-04-15T13:04:59.674Z",104
"ObjectId(""60783a4c5e0fe5577e1384b1"")",10,"2021-04-15T13:06:20.359Z",105
"ObjectId(""60783a4e5e0fe5577e1384b3"")",10,"2021-04-15T13:06:22.805Z",105
"ObjectId(""60783a9f5e0fe5577e1384b5"")",10,"2021-04-15T13:07:43.438Z",106
"ObjectId(""60783b1e5e0fe5577e1384b7"")",10,"2021-04-15T13:09:50.568Z",106
"ObjectId(""60783b6f5e0fe5577e1384b9"")",10,"2021-04-15T13:11:11.311Z",107
"ObjectId(""60783b715e0fe5577e1384bb"")",10,"2021-04-15T13:11:13.823Z",107
"ObjectId(""60783bc25e0fe5577e1384bd"")",10,"2021-04-15T13:12:34.541Z",108
"ObjectId(""60783c4a5e0fe5577e1384bf"")",10,"2021-04-15T13:14:50.645Z",108
"ObjectId(""60783c9b5e0fe5577e1384c1"")",10,"2021-04-15T13:16:11.300Z",109
"ObjectId(""60783c9d5e0fe5577e1384c3"")",10,"2021-04-15T13:16:13.746Z",109
"ObjectId(""60783cee5e0fe5577e1384c5"")",10,"2021-04-15T13:17:34.466Z",110
"ObjectId(""60783d765e0fe5577e1384c7"")",10,"2021-04-15T13:19:50.682Z",110
"ObjectId(""60783dc75e0fe5577e1384c9"")",10,"2021-04-15T13:21:11.291Z",111
"ObjectId(""60783dc95e0fe5577e1384cb"")",10,"2021-04-15T13:21:13.804Z",111
"ObjectId(""60783e1a5e0fe5577e1384cd"")",10,"2021-04-15T13:22:34.494Z",112
"ObjectId(""60783eb05e0fe5577e1384cf"")",10,"2021-04-15T13:25:04.894Z",112
"ObjectId(""60783f015e0fe5577e1384d1"")",10,"2021-04-15T13:26:25.498Z",113
"ObjectId(""60783f045e0fe5577e1384d3"")",10,"2021-04-15T13:26:28.011Z",113
