"_id","requests","concurrent_users","arrival_rate","response_time","data_payload","predicted_p_s","predicted_W","predicted_gamma","date","cycle"
"ObjectId(""5f6832aebe76ed731c6efa08"")",100,20,91.79,217.881,589,0.0021038257407980394,6.808008236590123,3.1618528095435257,"2020-09-21T04:57:18.357Z",756
"ObjectId(""5f68326dbe76ed731c6efa07"")",100,10,91.55,109.231,589,0.0020887040485980993,6.351068641572257,3.1882891968749463,"2020-09-21T04:56:13.704Z",755
"ObjectId(""5f68322ebe76ed731c6efa06"")",160,20,90.99,219.796,589,0.0020782947850921767,5.109069327457254,3.262833130043002,"2020-09-21T04:55:10.164Z",754
"ObjectId(""5f68316ebe76ed731c6efa05"")",300,30,91.1,329.306,589,0.0021676356624092045,5.478891616986475,3.2588279012087047,"2020-09-21T04:51:58.298Z",753
"ObjectId(""5f68312cbe76ed731c6efa04"")",400,50,91.01,549.395,589,0.002083356783833043,5.27538785490953,3.1545391116449153,"2020-09-21T04:50:52.150Z",752
"ObjectId(""5f6830e7be76ed731c6efa03"")",1000,100,86.62,1154.426,589,0.002165897236138382,6.997260670324242,3.6128899830577828,"2020-09-21T04:49:43.097Z",751
"ObjectId(""5f68300fbe76ed731c6efa02"")",20,5,78.21,63.934,589,0.0021024587642959457,4.430008077372005,3.294456551990304,"2020-09-21T04:46:07.096Z",750
"ObjectId(""5f682fd0be76ed731c6efa01"")",100,20,92.72,215.706,589,0.0021563038634377384,4.882240314222392,3.214652596507885,"2020-09-21T04:45:04.033Z",749
"ObjectId(""5f682f8ebe76ed731c6efa00"")",100,10,89.79,111.365,589,0.0021122614554675706,6.331886635758251,3.244624388094135,"2020-09-21T04:43:58.587Z",748
"ObjectId(""5f682ec4be76ed731c6ef9ff"")",160,20,93.27,214.428,589,0.0021656474701449136,4.778973977816367,3.3167891437375125,"2020-09-21T04:40:36.662Z",747
"ObjectId(""5f682e84be76ed731c6ef9fe"")",300,30,89.21,336.279,589,0.0021246881884421434,5.4069082312597425,3.592951255232675,"2020-09-21T04:39:31.999Z",746
"ObjectId(""5f682e3fbe76ed731c6ef9fd"")",400,50,90.82,550.546,589,0.002151157064951076,7.179627195650422,3.5588826366252193,"2020-09-21T04:38:23.075Z",745
"ObjectId(""5f682d89be76ed731c6ef9fc"")",1000,100,86.13,1161.033,589,0.0021211584774232474,4.947463815015344,3.1775449557524196,"2020-09-21T04:35:21.361Z",744
"ObjectId(""5f682d3dbe76ed731c6ef9fb"")",20,5,90.19,55.441,589,0.002171775200126919,7.444749023484007,3.388025101910759,"2020-09-21T04:34:05.313Z",743
"ObjectId(""5f682cfebe76ed731c6ef9fa"")",100,20,88.19,226.79,589,0.0021315619006955426,5.6119632330465885,3.2316686797190397,"2020-09-21T04:33:02.655Z",742
"ObjectId(""5f682c38be76ed731c6ef9f9"")",100,10,92.47,108.139,589,0.00208086594320152,5.612711232721089,3.254484862995052,"2020-09-21T04:29:44.609Z",741
"ObjectId(""5f682bf8be76ed731c6ef9f8"")",160,20,93.65,213.556,589,0.00212772910400193,5.483071410862392,3.297600558433449,"2020-09-21T04:28:40.712Z",740
"ObjectId(""5f682bb8be76ed731c6ef9f7"")",300,30,91.38,328.288,589,0.0021375329610875695,6.291416257453296,3.2550628407158566,"2020-09-21T04:27:36.089Z",739
"ObjectId(""5f682af6be76ed731c6ef9f6"")",400,50,87.12,573.892,589,0.00214113927804939,8.41806828923187,3.324758338015656,"2020-09-21T04:24:22.739Z",738
"ObjectId(""5f682ab3be76ed731c6ef9f5"")",1000,100,88.07,1135.498,589,0.002135591435507282,5.705924646206192,3.1783188891389793,"2020-09-21T04:23:15.634Z",737
"ObjectId(""5f682a69be76ed731c6ef9f4"")",20,5,78.76,63.488,589,0.002083618107742417,5.322751925298477,3.1386316145325535,"2020-09-21T04:22:01.828Z",736
"ObjectId(""5f6829c3be76ed731c6ef9f3"")",100,20,88.47,226.072,589,,,,"2020-09-21T04:19:15.495Z",735
"ObjectId(""5f68297ebe76ed731c6ef9f2"")",100,10,91.13,109.733,589,0.0021676356624092045,5.48069586230491,3.2588279012087047,"2020-09-21T04:18:06.318Z",734
"ObjectId(""5f68293bbe76ed731c6ef9f1"")",160,20,93.53,213.827,589,0.0020998436441513066,8.13643141340878,3.3493400722199516,"2020-09-21T04:16:59.666Z",733
"ObjectId(""5f68289abe76ed731c6ef9f0"")",300,30,92.09,325.773,589,0.0020790973930081983,5.209180369913618,3.2032287437690705,"2020-09-21T04:14:18.961Z",732
"ObjectId(""5f682858be76ed731c6ef9ef"")",400,50,85.38,585.597,589,0.002213027384794954,4.906774741657732,3.321436121541241,"2020-09-21T04:13:12.754Z",731
"ObjectId(""5f682812be76ed731c6ef9ee"")",1000,100,90.3,1107.37,589,0.0020958246499916734,7.236489088143718,3.14280596973558,"2020-09-21T04:12:02.513Z",730
"ObjectId(""5f682742be76ed731c6ef9ed"")",20,5,79.66,62.767,589,,,,"2020-09-21T04:08:34.848Z",729
"ObjectId(""5f6826febe76ed731c6ef9ec"")",100,20,89.81,222.685,589,0.0020913333146515534,4.995410800416127,3.133883366613423,"2020-09-21T04:07:26.991Z",728
"ObjectId(""5f6826bebe76ed731c6ef9eb"")",100,10,87.45,114.352,589,0.002268233759720568,4.564525525165815,3.388843395584613,"2020-09-21T04:06:22.937Z",727
"ObjectId(""5f6825f7be76ed731c6ef9ea"")",160,20,90.71,220.486,589,0.002095020094645663,6.553031841447853,3.2428675650653305,"2020-09-21T04:03:03.206Z",726
"ObjectId(""5f6825b6be76ed731c6ef9e9"")",300,30,92.23,325.275,589,,,,"2020-09-21T04:01:58.887Z",725
"ObjectId(""5f68256fbe76ed731c6ef9e8"")",400,50,91.32,547.513,589,0.002087461277639492,7.032770738152492,3.2519745555220334,"2020-09-21T04:00:47.886Z",724
"ObjectId(""5f6824a9be76ed731c6ef9e7"")",1000,100,87.51,1142.73,589,0.002314673345305146,7.766319080618773,3.494758699954812,"2020-09-21T03:57:29.002Z",723
"ObjectId(""5f68245ebe76ed731c6ef9e6"")",20,5,92.83,53.859,589,0.002209307945836307,5.136861794868073,3.3591756588310258,"2020-09-21T03:56:14.694Z",722
"ObjectId(""5f68241fbe76ed731c6ef9e5"")",100,20,82.74,241.727,589,0.002099936095514064,7.366805466036092,3.2946120525494726,"2020-09-21T03:55:11.145Z",721
"ObjectId(""5f6823ddbe76ed731c6ef9e4"")",100,10,89.36,111.911,589,0.002092948544515376,6.108505493638077,3.261439113325343,"2020-09-21T03:54:05.428Z",720
"ObjectId(""5f68233dbe76ed731c6ef9e3"")",160,20,87.44,228.73,589,0.002268233759720568,4.564003566843897,3.388843395584613,"2020-09-21T03:51:25.554Z",719
"ObjectId(""5f6822fcbe76ed731c6ef9e2"")",300,30,88.84,337.679,589,0.0021889210858030183,6.671528848620593,3.558611017677408,"2020-09-21T03:50:20.829Z",718
"ObjectId(""5f6822babe76ed731c6ef9e1"")",400,50,88.36,565.879,589,0.0021632976106167726,7.560042716716259,3.2405331864724185,"2020-09-21T03:49:14.763Z",717
"ObjectId(""5f682275be76ed731c6ef9e0"")",1000,100,88.81,1126,589,0.0023923171467308824,7.609471583257339,3.6049643290015236,"2020-09-21T03:48:05.548Z",716
"ObjectId(""5f68222bbe76ed731c6ef9df"")",20,5,86.63,57.713,589,0.0020774875132838454,5.089578924611803,3.0997689117327942,"2020-09-21T03:46:51.367Z",715
